서울시 기준일,서울시 확진자,서울시 추가 확진,서울시 사망,전국 기준일,전국 확진,전국 추가 확진,전국 당일 사망자
2020.03.27.00,376,0,0,2020.03.27.00,9332,0,
2020.03.26.00,361,0,0,2020.03.26.00,9241,0,
2020.03.25.00,347,0,0,2020.03.25.00,9137,0,
2020.03.24.00,334,0,0,2020.03.24.00,9037,0,
2020.03.23.00,330,0,0,2020.03.23.00,8961,0,
2020.03.22.00,324,0,0,2020.03.22.00,8897,0,
2020.03.21.00,314,0,0,2020.03.21.00,8799,0,
2020.03.20.00,299,0,0,2020.03.20.00,8652,0,
2020.03.19.00,282,0,0,2020.03.19.00,8565,0,
2020.03.18.00,270,0,0,2020.03.18.00,8413,0,
2020.03.17.10,267,0,0,2020.03.17.00,8320,0,
2020.03.16.10,254,0,0,2020.03.16.00,8236,0,
2020.03.15.10,248,0,0,2020.03.15.00,8162,0,
2020.03.14.10,240,0,0,2020.03.14.00,8086,0,
2020.03.13.10,231,0,0,2020.03.13.00,7979,0,
2020.03.12.10,219,0,0,2020.03.12.00,7869,0,
2020.03.11.10,205,0,0,2020.03.11.00,7755,0,
2020.03.10.10,156,0,0,2020.03.10.00,7513,0,
2020.03.09.10,130,0,0,2020.03.09.00,7382,0,
2020.03.08.10,120,0,0,2020.03.08.00,7134,0,
2020.03.07.10,114,0,0,2020.03.07.00,6767,0,
2020.03.06.10,106,0,0,2020.03.06.00,6284,0,
2020.03.05.10,105,0,0,2020.03.05.00,5766,0,
2020.03.04.10,99,0,0,2020.03.04.00,5328,0,
2020.03.03.10,98,0,0,2020.03.03.00,4812,0,
2020.03.02.10,92,0,0,2020.03.02.10,4212,0,
2020.03.01.10,86,0,0,2020.03.01.16,3736,0,
2020.02.29.10,77,0,0,2020.02.29.16,3150,0,
2020.02.28.10,65,0,0,2020.02.28.16,2337,0,
20.02.27.10,59,0,0,20.02.27.16,1766,0,
20.02.26.16,49,0,0,20.02.26.16,1261,0,
20.02.25.18,44,0,0,20.02.25.18,1146,0,
20.02.24.18,31,0,0,20.02.24.18,833,0,
20.02.23.16,25,0,0,20.02.23.16,602,0,
20.02.22.18,24,0,0,20.02.22.18,433,0,
20.02.21.16,18,0,0,20.02.21.16,204,0,
20.02.20.18,15,0,0,20.02.20.18,104,0,
20.02.19.18,13,0,0,20.02.19.18,82,0,
20.02.18.18,12,0,0,20.02.18.18,31,0,
20.02.17.18,12,0,0,20.02.17.18,30,0,
20.02.16.18,11,0,0,20.02.16.18,29,0,
20.02.15.18,10,0,0,20.02.15.18,28,0,
20.02.14.18,10,0,0,20.02.14.18,28,0,
20.02.13.18,10,0,0,20.02.13.18,28,0,
20.02.12.18,10,0,0,20.02.12.18,28,0,
20.02.11.18,10,0,0,20.02.11.18,28,0,
20.02.10.18,10,0,0,20.02.10.18,27,0,
20.02.09.18,10,0,0,20.02.09.18,27,0,
20.02.08.18,10,0,0,20.02.08.18,24,0,
20.02.07.18,10,0,0,20.02.07.18,24,0,
20.02.06.09,11,0,0,20.02.06.09,24,0,
20.02.05.15,8,0,0,20.02.05.15,18,0,
