서울시 기준일,서울시 확진자,서울시 추가 확진,서울시 사망,전국 기준일,전국 확진,전국 추가 확진,전국 당일 사망자
2021.08.09.00,68287,415,543,2021.08.09.00,212448,1492,
2021.08.08.00,67872,450,542,2021.08.08.00,210956,1729,
2021.08.07.00,67422,503,540,2021.08.07.00,209228,1823,
2021.08.06.00,66919,464,540,2021.08.06.00,207406,1704,
2021.08.05.00,66455,466,539,2021.08.05.00,205702,1776,
2021.08.04.00,65989,486,537,2021.08.04.00,203926,1725,
2021.08.03.00,65503,311,537,2021.08.03.00,202203,1202,
2021.08.02.00,65193,365,535,2021.08.02.00,201002,1219,
2021.08.01.00,64832,473,535,2021.08.01.00,199787,1442,
2021.07.31.00,64359,476,534,2021.07.31.00,198345,1539,
2021.07.30.00,63883,488,532,2021.07.30.00,196806,1710,
2021.07.29.00,63396,515,532,2021.07.29.00,195099,1674,
2021.07.28.00,62881,573,531,2021.07.28.00,193427,1896,
2021.07.27.00,62308,351,529,2021.07.27.00,191531,1365,
2021.07.26.00,61957,341,529,2021.07.26.00,190166,1318,
2021.07.25.00,61616,489,529,2021.07.25.00,188848,1487,
2021.07.24.00,61128,465,528,2021.07.24.00,187362,1629,
2021.07.23.00,60663,520,528,2021.07.23.00,185733,1630,
2021.07.22.00,60143,499,528,2021.07.22.00,184103,1842,
2021.07.21.00,59644,604,528,2021.07.21.00,182265,1784,
2021.07.20.00,59040,394,527,2021.07.20.00,180481,1278,
2021.07.19.00,58646,419,527,2021.07.19.00,179203,1252,
2021.07.18.00,58227,523,527,2021.07.18.00,177951,1454,
2021.07.17.00,57704,562,527,2021.07.17.00,176500,1455,
2021.07.16.00,57142,570,525,2021.07.16.00,175046,1536,
2021.07.15.00,56573,520,525,2021.07.15.00,173511,1600,
2021.07.14.00,56053,638,524,2021.07.14.00,171911,1615,
2021.07.13.00,55415,417,523,2021.07.13.00,170296,1150,
2021.07.12.00,54998,403,523,2021.07.12.00,169146,1100,
2021.07.11.00,54595,509,523,2021.07.11.00,168046,1324,
2021.07.10.00,54086,509,521,2021.07.10.00,166722,1378,
2021.07.09.00,53577,503,519,2021.07.09.00,165344,1316,
2021.07.08.00,53074,550,518,2021.07.08.00,164028,1275,
2021.07.07.00,52524,583,518,2021.07.07.00,162753,1212,
2021.07.06.00,51941,320,518,2021.07.06.00,161541,746,
2021.07.05.00,51621,307,517,2021.07.05.00,160795,711,
2021.07.04.00,51314,289,516,2021.07.04.00,160084,743,
2021.07.03.00,51026,359,516,2021.07.03.00,159342,794,
2021.07.02.00,50668,347,515,2021.07.02.00,158549,826,
2021.07.01.00,50321,334,514,2021.07.01.00,157723,762,
2021.06.30.00,49987,375,513,2021.06.30.00,156961,794,
2021.06.29.00,49612,205,513,2021.06.29.00,156167,595,
2021.06.28.00,49407,185,513,2021.06.28.00,155572,501,
2021.06.27.00,49222,242,512,2021.06.27.00,155071,614,
2021.06.26.00,48980,263,512,2021.06.26.00,154457,668,
2021.06.25.00,48717,269,511,2021.06.25.00,153789,634,
2021.06.24.00,48448,252,510,2021.06.24.00,153155,610,
2021.06.23.00,48196,236,510,2021.06.23.00,152545,645,
2021.06.22.00,47961,132,509,2021.06.22.00,151901,395,
2021.06.21.00,47829,134,508,2021.06.21.00,151506,357,
2021.06.20.00,47695,165,507,2021.06.20.00,151149,429,
2021.06.19.00,47530,197,506,2021.06.19.00,150720,482,
2021.06.18.00,47333,200,505,2021.06.18.00,150238,507,
2021.06.17.00,47133,201,504,2021.06.17.00,149731,540,
2021.06.16.00,46932,201,503,2021.06.16.00,149192,545,
2021.06.15.00,46732,132,502,2021.06.15.00,148647,374,
2021.06.14.00,46600,122,501,2021.06.14.00,148273,399,
2021.06.13.00,46478,176,501,2021.06.13.00,147874,452,
2021.06.12.00,46302,208,499,2021.06.12.00,147422,565,
2021.06.11.00,46096,204,499,2021.06.11.00,146859,556,
2021.06.10.00,45892,213,499,2021.06.10.00,146303,611,
2021.06.09.00,45679,183,499,2021.06.09.00,145692,602,
2021.06.08.00,45497,139,498,2021.06.08.00,145091,454,
2021.06.07.00,45358,159,497,2021.06.07.00,144637,485,
2021.06.06.00,45199,179,497,2021.06.06.00,144152,556,
2021.06.05.00,45020,277,496,2021.06.05.00,143596,744,
2021.06.04.00,44743,206,496,2021.06.04.00,142852,695,
2021.06.03.00,44537,215,495,2021.06.03.00,142157,681,
2021.06.02.00,44322,258,492,2021.06.02.00,141476,677,
2021.06.01.00,44064,147,491,2021.06.01.00,140799,459,
2021.05.31.00,43917,130,488,2021.05.31.00,140340,430,
2021.05.30.00,43787,160,488,2021.05.30.00,139910,480,
2021.05.29.00,43627,194,486,2021.05.29.00,139431,533,
2021.05.28.00,43433,214,485,2021.05.28.00,138898,587,
2021.05.27.00,43219,218,482,2021.05.27.00,138311,629,
2021.05.26.00,43001,262,481,2021.05.26.00,137682,707,
2021.05.25.00,42739,138,480,2021.05.25.00,136983,516,
2021.05.24.00,42601,139,480,2021.05.24.00,136467,538,
2021.05.23.00,42462,181,480,2021.05.23.00,135929,585,
2021.05.22.00,42281,208,480,2021.05.22.00,135344,666,
2021.05.21.00,42073,172,479,2021.05.21.00,134678,561,
2021.05.20.00,41901,242,475,2021.05.20.00,134117,646,
2021.05.19.00,41659,249,474,2021.05.19.00,133471,654,
2021.05.18.00,41410,172,472,2021.05.18.00,132818,528,
2021.05.17.00,41238,195,472,2021.05.17.00,132290,619,
2021.05.16.00,41043,213,471,2021.05.16.00,131671,610,
2021.05.15.00,40830,254,468,2021.05.15.00,131061,681,
2021.05.14.00,40576,231,468,2021.05.14.00,130380,747,
2021.05.13.00,40345,227,468,2021.05.13.00,129633,715,
2021.05.12.00,40118,223,466,2021.05.12.00,128918,635,
2021.05.12.00,40118,223,466,2021.05.12.00,128918,635,
2021.05.11.00,39895,163,464,2021.05.11.00,128283,511,
2021.05.10.00,39732,141,462,2021.05.10.00,127772,463,
2021.05.09.00,39591,195,462,2021.05.09.00,127309,564,
2021.05.08.00,39396,242,459,2021.05.08.00,126745,701,
2021.05.07.00,39154,179,457,2021.05.07.00,126044,525,
2021.05.06.00,38975,212,453,2021.05.06.00,125519,574,
2021.05.05.00,38763,238,452,2021.05.05.00,124945,676,
2021.05.04.00,38525,184,452,2021.05.04.00,124269,541,
2021.05.03.00,38341,127,451,2021.05.03.00,123728,488,
2021.05.02.00,38214,182,451,2021.05.02.00,123240,606,
2021.05.01.00,38032,195,450,2021.05.01.00,122634,627,
2021.04.30.00,37837,227,448,2021.04.30.00,122007,661,
2021.04.29.00,37610,227,447,2021.04.29.00,121351,680,
2021.04.28.00,37385,259,445,2021.04.28.00,120673,775,
2021.04.27.00,37126,116,445,2021.04.27.00,119898,512,
2021.04.26.00,37010,154,445,2021.04.26.00,119387,500,
2021.04.25.00,36856,175,444,2021.04.25.00,118887,644,
2021.04.24.00,36681,253,444,2021.04.24.00,118243,785,
2021.04.23.00,36428,204,444,2021.04.23.00,117458,797,
2021.04.22.00,36224,230,443,2021.04.22.00,116661,735,
2021.04.21.00,35994,218,443,2021.04.21.00,115926,731,
2021.04.20.00,35776,148,443,2021.04.20.00,115195,549,
2021.04.19.00,35628,137,443,2021.04.19.00,114646,532,
2021.04.18.00,35492,205,443,2021.04.18.00,114115,672,
2021.04.17.00,35287,217,443,2021.04.17.00,113444,658,
2021.04.16.00,35070,216,442,2021.04.16.00,112789,673,
2021.04.15.00,34855,217,440,2021.04.15.00,112117,698,
2021.04.14.00,34638,247,438,2021.04.14.00,111419,731,
2021.04.13.00,34391,158,437,2021.04.13.00,110688,542,
2021.04.12.00,34233,162,435,2021.04.12.00,110146,587,
2021.04.11.00,34071,214,434,2021.04.11.00,109559,614,
2021.04.10.00,33857,201,434,2021.04.10.00,108945,677,
2021.04.09.00,33656,215,434,2021.04.09.00,108269,671,
2021.04.08.00,33441,244,431,2021.04.08.00,107598,700,
2021.04.07.00,33197,198,431,2021.04.07.00,106898,668,
2021.04.06.00,32999,147,429,2021.04.06.00,106230,478,
2021.04.05.00,32852,152,429,2021.04.05.00,105752,473,
2021.04.04.00,32700,149,429,2021.04.04.00,105279,543,
2021.04.03.00,32551,155,427,2021.04.03.00,104736,543,
2021.04.02.00,32397,167,426,2021.04.02.00,104194,558,
2021.04.01.00,32233,199,425,2021.04.01.00,103639,551,
2021.03.31.00,32034,158,424,2021.03.31.00,103088,506,
2021.03.30.00,31876,145,424,2021.03.30.00,102582,447,
2021.03.29.00,31731,107,423,2021.03.29.00,102141,384,
2021.03.28.00,31624,138,423,2021.03.28.00,101757,482,
2021.03.27.00,31486,127,422,2021.03.27.00,101275,505,
2021.03.26.00,31359,122,420,2021.03.26.00,100770,494,
2021.03.25.00,31237,127,418,2021.03.25.00,100276,430,
2021.03.24.00,31110,137,417,2021.03.24.00,99846,428,
2021.03.23.00,30976,97,415,2021.03.23.00,99421,346,
2021.03.22.00,30879,109,415,2021.03.22.00,99075,415,
2021.03.21.00,30775,125,414,2021.03.21.00,98665,456,
2021.03.20.00,30650,120,413,2021.03.20.00,98209,452,
2021.03.19.00,30530,146,413,2021.03.19.00,97757,463,
2021.03.18.00,30384,124,412,2021.03.18.00,97294,445,
2021.03.17.00,30260,120,412,2021.03.17.00,96849,469,
2021.03.16.00,30140,79,409,2021.03.16.00,96380,363,
2021.03.15.00,30061,112,407,2021.03.15.00,96017,382,
2021.03.14.00,29949,112,404,2021.03.14.00,95635,459,
2021.03.13.00,29837,140,403,2021.03.13.00,95176,490,
2021.03.12.00,29697,140,400,2021.03.12.00,94686,488,
2021.03.11.00,29557,138,399,2021.03.11.00,94198,465,
2021.03.10.00,29419,138,398,2021.03.10.00,93733,470,
2021.03.09.00,29281,102,396,2021.03.09.00,93263,446,
2021.03.08.00,29179,100,396,2021.03.08.00,92817,346,
2021.03.07.00,29079,132,394,2021.03.07.00,92471,416,
2021.03.06.00,28947,128,393,2021.03.06.00,92055,418,
2021.03.05.00,28820,129,391,2021.03.05.00,91638,398,
2021.03.04.00,28691,118,388,2021.03.04.00,91240,424,
2021.03.03.00,28573,119,385,2021.03.03.00,90816,444,
2021.03.02.00,28454,122,381,2021.03.02.00,90372,344,
2021.03.01.00,28332,92,381,2021.03.01.00,90029,355,
2021.02.28.00,28240,120,380,2021.02.28.00,89676,356,
2021.02.27.00,28120,131,378,2021.02.27.00,89321,415,
2021.02.26.00,27989,132,375,2021.02.26.00,88922,406,
2021.02.25.00,27857,122,373,2021.02.25.00,88516,396,
2021.02.24.00,27735,144,372,2021.02.24.00,88120,440,
2021.02.23.00,27592,126,371,2021.02.23.00,87681,357,
2021.02.22.00,27466,106,369,2021.02.22.00,87324,332,
2021.02.21.00,27360,130,365,2021.02.21.00,86992,416,
2021.02.20.00,27230,123,365,2021.02.20.00,86574,446,
2021.02.19.00,27107,180,364,2021.02.19.00,86128,561,
2021.02.18.00,26927,185,362,2021.02.18.00,85567,621,
2021.02.17.00,26742,258,360,2021.02.17.00,84946,621,
2021.02.16.00,26484,161,359,2021.02.16.00,84325,457,
2021.02.15.00,26324,151,356,2021.02.15.00,83869,344,
2021.02.14.00,26173,152,355,2021.02.14.00,83525,326,
2021.02.13.00,26021,136,352,2021.02.13.00,83199,362,
2021.02.12.00,25885,158,351,2021.02.12.00,82837,403,
2021.02.11.00,25727,183,347,2021.02.11.00,82434,504,
2021.02.10.00,25544,175,343,2021.02.10.00,81930,444,
2021.02.09.00,25369,90,341,2021.02.09.00,81487,303,
2021.02.08.00,25279,112,339,2021.02.08.00,81190,289,
2021.02.07.00,25167,144,338,2021.02.07.00,80896,372,
2021.02.06.00,25023,143,333,2021.02.06.00,80524,393,
2021.02.05.00,24880,126,332,2021.02.05.00,80131,370,
2021.02.04.00,24755,172,329,2021.02.04.00,79762,451,
2021.02.03.00,24583,188,327,2021.02.03.00,79311,467,
2021.02.02.00,24395,128,326,2021.02.02.00,78844,336,
2021.02.01.00,24267,107,325,2021.02.01.00,78508,305,
2021.01.31.00,24162,101,324,2021.01.31.00,78205,355,
2021.01.30.00,24061,154,323,2021.01.30.00,77850,458,
2021.01.29.00,23908,112,317,2021.01.29.00,77395,469,
2021.01.28.00,23797,105,311,2021.01.28.00,76926,497,
2021.01.27.00,23692,129,307,2021.01.27.00,76429,559,
2021.01.26.00,23563,104,304,2021.01.26.00,75875,354,
2021.01.25.00,23459,102,301,2021.01.25.00,75521,437,
2021.01.24.00,23357,133,297,2021.01.24.00,75084,392,
2021.01.23.00,23224,127,294,2021.01.23.00,74692,431,
2021.01.22.00,23097,115,290,2021.01.22.00,74262,346,
2021.01.21.00,22984,125,285,2021.01.21.00,73918,401,
2021.01.20.00,22859,143,279,2021.01.20.00,73518,404,
2021.01.19.00,22717,101,277,2021.01.19.00,73115,386,
2021.01.18.00,22616,132,271,2021.01.18.00,72729,389,
2021.01.17.00,22484,145,265,2021.01.17.00,72340,520,
2021.01.16.00,22339,156,262,2021.01.16.00,71820,580,
2021.01.15.00,22183,127,254,2021.01.15.00,71241,513,
2021.01.14.00,22056,134,252,2021.01.14.00,70728,524,
2021.01.13.00,21922,152,250,2021.01.13.00,70212,562,
2021.01.12.00,21771,167,248,2021.01.12.00,69651,537,
2021.01.11.00,21604,141,238,2021.01.11.00,69114,451,
2021.01.10.00,21463,187,230,2021.01.10.00,68664,665,
2021.01.09.00,21276,188,223,2021.01.09.00,67999,641,
2021.01.08.00,21088,191,223,2021.01.08.00,67358,674,
2021.01.07.00,20899,298,213,2021.01.07.00,66686,870,
2021.01.06.00,20602,264,207,2021.01.06.00,65818,840,
2021.01.05.00,20338,199,204,2021.01.05.00,64979,715,
2021.01.04.00,20138,329,193,2021.01.04.00,64264,1020,
2021.01.03.00,19809,197,189,2021.01.03.00,63244,657,
2021.01.02.00,19614,251,186,2021.01.02.00,62593,824,
2021.01.01.00,19363,359,182,2021.01.01.00,61769,1029,
2020.12.31.00,19004,366,177,2020.12.31.00,60740,967,
2020.12.30.00,18638,387,172,2020.12.30.00,59773,1050,
2020.12.29.00,18253,523,167,2020.12.29.00,58725,1046,
2020.12.28.00,17731,301,159,2020.12.28.00,57680,808,
2020.12.27.00,17430,362,157,2020.12.27.00,56872,970,
2020.12.26.00,17068,466,155,2020.12.26.00,55902,1132,
2020.12.25.00,16602,552,148,2020.12.25.00,54770,1216,
2020.12.24.00,16050,319,147,2020.12.24.00,53533,985,
2020.12.23.00,15732,376,145,2020.12.23.00,52550,1092,
2020.12.22.00,15356,317,144,2020.12.22.00,51460,869,
2020.12.21.00,15039,328,136,2020.12.21.00,50591,926,
2020.12.20.00,14711,473,130,2020.12.20.00,49665,1097,
2020.12.19.00,14240,384,128,2020.12.19.00,48570,1053,
2020.12.18.00,13856,398,126,2020.12.18.00,47515,1062,
2020.12.17.00,13458,423,125,2020.12.17.00,46453,1014,
2020.12.16.00,13035,378,120,2020.12.16.00,45442,1078,
2020.12.15.00,12657,251,115,2020.12.15.00,44364,880,
2020.12.14.00,12406,219,112,2020.12.14.00,43484,718,
2020.12.13.00,12187,399,109,2020.12.13.00,42766,1030,
2020.12.12.00,11788,362,109,2020.12.12.00,41736,950,
2020.12.11.00,11426,252,106,2020.12.11.00,40786,689,
2020.12.10.00,11175,251,105,2020.12.10.00,40098,682,
2020.12.09.00,10932,270,105,2020.12.09.00,39432,686,
2020.12.08.00,10663,214,104,2020.12.08.00,38755,594,
2020.12.07.00,10449,244,102,2020.12.07.00,38161,615,
2020.12.06.00,10205,254,101,2020.12.06.00,37546,631,
2020.12.05.00,9951,235,100,2020.12.05.00,36915,583,
2020.12.04.00,9716,295,97,2020.12.04.00,36332,629,
2020.12.03.00,9421,262,95,2020.12.03.00,35703,540,
2020.12.02.00,9159,193,93,2020.12.02.00,35163,511,
2020.12.01.00,8966,155,93,2020.12.01.00,34652,451,
2020.11.30.00,8811,159,93,2020.11.30.00,34201,438,
2020.11.29.00,8652,158,92,2020.11.29.00,33824,450,
2020.11.28.00,8494,178,91,2020.11.28.00,33375,504,
2020.11.27.00,8317,204,88,2020.11.27.00,32887,569,
2020.11.26.00,8113,213,88,2020.11.26.00,32318,583,
2020.11.25.00,7900,142,87,2020.11.25.00,31735,382,
2020.11.24.00,7758,133,87,2020.11.24.00,31353,349,
2020.11.23.00,7625,112,86,2020.11.23.00,31004,271,
2020.11.22.00,7513,121,85,2020.11.22.00,30733,330,
2020.11.21.00,7392,156,85,2020.11.21.00,30403,386,
2020.11.20.00,7236,132,84,2020.11.20.00,30017,363,
2020.11.19.00,7104,109,83,2020.11.19.00,29654,343,
2020.11.18.00,6995,92,82,2020.11.18.00,29311,313,
2020.11.17.00,6903,90,81,2020.11.17.00,28998,230,
2020.11.16.00,6814,81,81,2020.11.16.00,28769,223,
2020.11.15.00,6733,85,81,2020.11.15.00,28546,208,
2020.11.14.00,6648,69,80,2020.11.14.00,28338,205,
2020.11.13.00,6579,74,79,2020.11.13.00,28133,191,
2020.11.12.00,6505,53,79,2020.11.12.00,27942,143,
2020.11.11.00,6452,45,79,2020.11.11.00,27799,146,
2020.11.10.00,6407,35,79,2020.11.10.00,27653,100,
2020.11.09.00,6372,46,78,2020.11.09.00,27553,126,
2020.11.08.00,6326,54,78,2020.11.08.00,27427,143,
2020.11.07.00,6272,37,78,2020.11.07.00,27284,89,
2020.11.06.00,6235,40,78,2020.11.06.00,27195,145,
2020.11.05.00,6195,50,78,2020.11.05.00,27050,125,
2020.11.04.00,6145,42,78,2020.11.04.00,26925,118,
2020.11.03.00,6103,22,78,2020.11.03.00,26807,75,
2020.11.02.00,6081,25,78,2020.11.02.00,26732,97,
2020.11.01.00,6056,45,78,2020.11.01.00,26635,124,
2020.10.31.00,6011,52,78,2020.10.31.00,26511,127,
2020.10.30.00,5960,48,78,2020.10.30.00,26385,114,
2020.10.29.00,5912,36,78,2020.10.29.00,26271,125,
2020.10.28.00,5876,25,77,2020.10.28.00,26146,103,
2020.10.27.00,5851,24,76,2020.10.27.00,26043,88,
2020.10.26.00,5827,20,74,2020.10.26.00,25955,119,
2020.10.25.00,5807,17,74,2020.10.25.00,25836,61,
2020.10.24.00,5790,22,74,2020.10.24.00,25775,77,
2020.10.23.00,5768,20,74,2020.10.23.00,25698,155,
2020.10.22.00,5748,18,74,2020.10.22.00,25543,121,
2020.10.21.00,5730,17,71,2020.10.21.00,25424,91,
2020.10.20.00,5713,11,69,2020.10.20.00,25333,58,
2020.10.19.00,5702,14,69,2020.10.19.00,25275,76,
2020.10.18.00,5688,20,69,2020.10.18.00,25199,91,
2020.10.17.00,5668,18,68,2020.10.17.00,25108,73,
2020.10.16.00,5650,18,67,2020.10.16.00,25035,47,
2020.10.15.00,5632,25,66,2020.10.15.00,24988,110,
2020.10.14.00,5607,23,66,2020.10.14.00,24889,84,
2020.10.13.00,5584,20,65,2020.10.13.00,24805,102,
2020.10.12.00,5564,31,64,2020.10.12.00,24703,97,
2020.10.11.00,5533,23,64,2020.10.11.00,24606,58,
2020.10.10.00,5510,25,63,2020.10.10.00,24548,72,
2020.10.09.00,5485,22,62,2020.10.09.00,24476,54,
2020.10.08.00,5463,20,62,2020.10.08.00,24422,69,
2020.10.07.00,5443,33,61,2020.10.07.00,24353,114,
2020.10.06.00,5410,15,61,2020.10.06.00,24239,75,
2020.10.05.00,5395,19,61,2020.10.05.00,24164,73,
2020.10.04.00,5376,16,60,2020.10.04.00,24091,64,
2020.10.03.00,5360,26,59,2020.10.03.00,24027,75,
2020.10.02.00,5334,11,57,2020.10.02.00,23952,63,
2020.10.01.00,5323,30,57,2020.10.01.00,23889,77,
2020.09.30.00,5293,51,56,2020.09.30.00,23812,113,
2020.09.29.00,5242,11,54,2020.09.29.00,23699,38,
2020.09.28.00,5231,19,54,2020.09.28.00,23661,50,
2020.09.27.00,5212,34,53,2020.09.27.00,23611,95,
2020.09.26.00,5178,26,53,2020.09.26.00,23516,61,
2020.09.25.00,5152,57,52,2020.09.25.00,23455,114,
2020.09.24.00,5095,39,50,2020.09.24.00,23341,125,
2020.09.23.00,5056,40,49,2020.09.23.00,23216,110,
2020.09.22.00,5016,21,49,2020.09.22.00,23106,61,
2020.09.21.00,4995,23,48,2020.09.21.00,23045,70,
2020.09.20.00,4972,28,47,2020.09.20.00,22975,82,
2020.09.19.00,4944,40,46,2020.09.19.00,22893,110,
2020.09.18.00,4904,46,46,2020.09.18.00,22783,126,
2020.09.17.00,4857,63,43,2020.09.17.00,22657,153,
2020.09.16.00,4794,51,42,2020.09.16.00,22504,113,
2020.09.15.00,4743,32,42,2020.09.15.00,22391,106,
2020.09.14.00,4711,41,40,2020.09.14.00,22285,109,
2020.09.13.00,4670,31,38,2020.09.13.00,22176,121,
2020.09.12.00,4639,50,35,2020.09.12.00,22055,136,
2020.09.11.00,4589,63,34,2020.09.11.00,21919,176,
2020.09.10.00,4526,48,32,2020.09.10.00,21743,155,
2020.09.09.00,4478,49,32,2020.09.09.00,21588,156,
2020.09.08.00,4429,67,32,2020.09.08.00,21432,136,
2020.09.07.00,4362,48,28,2020.09.07.00,21296,119,
2020.09.06.00,4314,63,26,2020.09.06.00,21177,167,
2020.09.05.00,4251,51,25,2020.09.05.00,21010,168,
2020.09.04.00,4201,68,24,2020.09.04.00,20842,198,
2020.09.03.00,4131,69,24,2020.09.03.00,20644,195,
2020.09.02.00,4062,101,24,2020.09.02.00,20449,267,
2020.09.01.00,3961,94,23,2020.09.01.00,20182,235,
2020.08.31.00,3867,94,23,2020.08.31.00,19947,248,
2020.08.30.00,3773,116,22,2020.08.30.00,19699,299,
2020.08.29.00,3657,125,20,2020.08.29.00,19400,323,
2020.08.28.00,3532,146,19,2020.08.28.00,19077,371,
2020.08.27.00,3386,154,17,2020.08.27.00,18706,441,
2020.08.26.00,3232,112,17,2020.08.26.00,18265,320,
2020.08.25.00,3120,134,16,2020.08.25.00,17945,280,
2020.08.24.00,2986,97,16,2020.08.24.00,17665,266,
2020.08.23.00,2889,140,16,2020.08.23.00,17399,397,
2020.08.22.00,2749,128,16,2020.08.22.00,17002,332,
2020.08.21.00,2621,126,16,2020.08.21.00,16670,324,
2020.08.20.00,2495,135,15,2020.08.20.00,16346,288,
2020.08.19.00,2360,151,14,2020.08.19.00,16058,297,
2020.08.18.00,2209,132,14,2020.08.18.00,15761,246,
2020.08.17.00,2077,90,13,2020.08.17.00,15515,197,
2020.08.16.00,1987,146,13,2020.08.16.00,15318,279,
2020.08.15.00,1841,74,13,2020.08.15.00,15039,166,
2020.08.14.00,1767,32,13,2020.08.14.00,14873,103,
2020.08.13.00,1735,26,13,2020.08.13.00,14770,56,
2020.08.12.00,1709,15,13,2020.08.12.00,14714,54,
2020.08.11.00,1694,6,13,2020.08.11.00,14660,34,
2020.08.10.00,1688,13,13,2020.08.10.00,14626,28,
2020.08.09.00,1675,13,13,2020.08.09.00,14598,36,
2020.08.08.00,1662,17,13,2020.08.08.00,14562,43,
2020.08.07.00,1645,9,13,2020.08.07.00,14519,20,
2020.08.06.00,1636,9,12,2020.08.06.00,14499,43,
2020.08.05.00,1627,6,12,2020.08.05.00,14456,33,
2020.08.04.00,1621,9,11,2020.08.04.00,14423,34,
2020.08.03.00,1612,5,11,2020.08.03.00,14389,23,
2020.08.02.00,1607,5,11,2020.08.02.00,14366,30,
2020.08.01.00,1602,2,11,2020.08.01.00,14336,31,
2020.07.31.00,1600,8,11,2020.07.31.00,14305,36,
2020.07.30.00,1592,3,11,2020.07.30.00,14269,18,
2020.07.29.00,1589,9,11,2020.07.29.00,14251,48,
2020.07.28.00,1580,6,11,2020.07.28.00,14203,28,
2020.07.27.00,1574,9,11,2020.07.27.00,14175,25,
2020.07.26.00,1565,7,11,2020.07.26.00,14150,58,
2020.07.25.00,1558,11,11,2020.07.25.00,14092,113,
2020.07.24.00,1547,21,11,2020.07.24.00,13979,41,
2020.07.23.00,1526,12,11,2020.07.23.00,13938,59,
2020.07.22.00,1514,16,11,2020.07.22.00,13879,63,
2020.07.21.00,1498,21,10,2020.07.21.00,13816,45,
2020.07.20.00,1477,3,10,2020.07.20.00,13771,26,
2020.07.19.00,1474,10,10,2020.07.19.00,13745,34,
2020.07.18.00,1464,6,9,2020.07.18.00,13711,60,
2020.07.17.00,1458,9,9,2020.07.17.00,13672,60,
2020.07.16.00,1449,7,9,2020.07.16.00,13612,61,
2020.07.15.00,1442,6,9,2020.07.15.00,13551,39,
2020.07.14.00,1436,7,9,2020.07.14.00,13512,33,
2020.07.13.00,1429,13,9,2020.07.13.00,13479,62,
2020.07.12.00,1416,7,9,2020.07.12.00,13417,44,
2020.07.11.00,1409,8,9,2020.07.11.00,13373,35,
2020.07.10.00,1401,8,9,2020.07.10.00,13338,45,
2020.07.09.00,1393,8,9,2020.07.09.00,13293,50,
